Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr1,1852267,1875596,23330,578,-0.101,0.703,0.512,0.498,hypo,Block:30
chr1,1875980,1935125,59146,1288,-0.125,0.737,0.51,0.499,hypo,Block:31
chr1,1935535,1950356,14822,235,-0.096,0.543,0.461,0.473,hypo,Block:32
chr1,1951511,1976114,24604,644,-0.136,0.625,0.503,0.503,hypo,Block:33
chr1,2161210,2172759,11550,349,-0.065,0.539,0.539,0.526,hypo,Block:34
chr1,2201913,2224959,23047,540,0.063,0.769,0.513,0.508,hyper,Block:35
chr1,2247110,2316601,69492,1945,-0.169,0.771,0.488,0.495,hypo,Block:36
chr1,2347486,2374782,27297,647,-0.156,0.634,0.493,0.508,hypo,Block:37
chr1,2375859,2398798,22940,642,-0.229,0.678,0.506,0.502,hypo,Block:38
chr1,2399146,2438642,39497,1204,-0.206,0.725,0.488,0.494,hypo,Block:39
chr1,2520172,2556297,36126,699,-0.134,0.659,0.497,0.494,hypo,Block:40
chr1,2578297,2632296,54000,293,-0.145,0.416,0.49,0.452,hypo,Block:41
chr1,2688037,2885032,196996,4405,-0.169,0.7,0.504,0.501,hypo,Block:42
chr1,2885333,2929060,43728,795,-0.224,0.717,0.495,0.501,hypo,Block:43
chr1,2929407,2976124,46718,853,-0.206,0.7,0.501,0.508,hypo,Block:44
chr1,2991134,3163891,172758,5055,-0.175,0.755,0.506,0.507,hypo,Block:45
chr1,3164765,3225933,61169,1489,-0.17,0.78,0.522,0.522,hypo,Block:46
chr1,3259337,3310027,50691,1257,-0.116,0.728,0.506,0.513,hypo,Block:47
chr1,3311101,3370885,59785,1605,-0.164,0.737,0.501,0.503,hypo,Block:48
chr1,3384121,3394743,10623,288,0.051,0.778,0.514,0.516,hyper,Block:49
chr1,3403762,3447431,43670,1237,-0.158,0.779,0.518,0.5,hypo,Block:50
chr1,3447953,3527579,79627,2085,-0.204,0.702,0.507,0.494,hypo,Block:51
chr1,3528706,3534110,5405,106,-0.075,0.43,0.451,0.447,hypo,Block:52
chr1,3578228,3688532,110305,2630,-0.121,0.696,0.504,0.509,hypo,Block:53
chr1,3714483,3728518,14036,106,-0.094,0.57,0.533,0.525,hypo,Block:54
chr1,3825452,3845187,19736,394,-0.128,0.768,0.504,0.524,hypo,Block:55
chr1,3995434,4702072,706639,8103,-0.191,0.724,0.473,0.478,hypo,Block:56
chr1,4706578,4713960,7383,102,0.092,0.278,0.53,0.512,hyper,Block:57
chr1,4720250,5919489,1199240,12635,-0.203,0.712,0.496,0.498,hypo,Block:58
chr1,6053742,6086225,32484,566,-0.172,0.764,0.534,0.538,hypo,Block:59
chr1,6100221,6187692,87472,1819,-0.105,0.79,0.495,0.5,hypo,Block:60
chr1,6188264,6208698,20435,396,-0.118,0.73,0.504,0.494,hypo,Block:61
chr1,6209102,6239174,30073,544,-0.128,0.619,0.489,0.503,hypo,Block:62
chr1,6247052,6253009,5958,38,0.054,0.488,0.382,0.419,hyper,Block:63
chr1,6310111,6316552,6442,145,0.072,0.337,0.548,0.49,hyper,Block:64
chr1,6401845,6410112,8268,148,-0.053,0.773,0.492,0.478,hypo,Block:65
chr1,6422650,6452778,30129,232,-0.075,0.718,0.431,0.449,hypo,Block:66
chr1,6512503,6525977,13475,321,0.113,0.61,0.513,0.528,hyper,Block:67
chr1,6534092,6541119,7028,132,-0.068,0.523,0.473,0.503,hypo,Block:68
chr1,6558324,6580541,22218,427,-0.114,0.716,0.496,0.508,hypo,Block:69
chr1,6616751,6639389,22639,267,-0.149,0.763,0.575,0.574,hypo,Block:70
chr1,6768245,6837682,69438,544,-0.149,0.684,0.491,0.508,hypo,Block:71
chr1,6961538,7020682,59145,760,-0.115,0.741,0.532,0.523,hypo,Block:72
chr1,7026321,7318663,292343,3543,-0.178,0.739,0.529,0.532,hypo,Block:73
chr1,7335994,7379977,43984,391,-0.087,0.731,0.536,0.517,hypo,Block:74
chr1,7407216,7627594,220379,3210,-0.15,0.763,0.511,0.513,hypo,Block:75
chr1,7633575,7740022,106448,1664,-0.177,0.713,0.516,0.513,hypo,Block:76
chr1,7741147,7763962,22816,314,-0.117,0.639,0.519,0.531,hypo,Block:77
chr1,7869976,7877775,7800,57,-0.048,0.885,0.51,0.503,hypo,Block:78
chr1,7900558,7923193,22636,238,-0.068,0.816,0.504,0.518,hypo,Block:79
chr1,7967949,7999628,31680,256,-0.091,0.691,0.427,0.425,hypo,Block:80
chr1,8075901,8085534,9634,59,-0.071,0.415,0.433,0.414,hypo,Block:81
chr1,8134218,8163153,28936,249,-0.126,0.718,0.537,0.503,hypo,Block:82
chr1,8379447,8410183,30737,624,-0.114,0.778,0.492,0.493,hypo,Block:83
chr1,8464599,8474610,10012,92,-0.057,0.615,0.43,0.427,hypo,Block:84
chr1,8487978,8494836,6859,50,0.053,0.649,0.489,0.448,hyper,Block:85
chr1,8888004,8910449,22446,172,-0.071,0.776,0.501,0.487,hypo,Block:86
chr1,8941688,8950473,8786,77,-0.07,0.514,0.53,0.528,hypo,Block:87
chr1,8961948,9160866,198919,2037,-0.129,0.781,0.481,0.481,hypo,Block:88
chr1,9221128,9238631,17504,176,-0.077,0.773,0.488,0.484,hypo,Block:89
chr1,9259727,9294306,34580,359,-0.133,0.631,0.462,0.471,hypo,Block:90
chr1,9437968,9488916,50949,672,-0.117,0.702,0.486,0.488,hypo,Block:91
chr1,9489304,9555342,66039,801,-0.119,0.692,0.497,0.486,hypo,Block:92
chr1,9555674,9593499,37826,309,-0.129,0.757,0.513,0.502,hypo,Block:93
chr1,9687435,9708778,21344,224,-0.16,0.643,0.519,0.526,hypo,Block:94
chr1,9722347,9744274,21928,205,-0.124,0.654,0.553,0.555,hypo,Block:95
chr1,9750288,9785295,35008,508,-0.172,0.778,0.511,0.513,hypo,Block:96
chr1,9928985,9935282,6298,90,-0.05,0.762,0.474,0.486,hypo,Block:97
chr1,10069437,10087610,18174,86,-0.084,0.667,0.526,0.521,hypo,Block:98
chr1,10244678,10269386,24709,169,-0.121,0.662,0.535,0.541,hypo,Block:99
chr1,10277983,10285104,7122,33,0.07,0.552,0.504,0.569,hyper,Block:100
chr1,10725571,10747576,22006,567,0.096,0.66,0.477,0.495,hyper,Block:101
chr1,10769452,10798400,28949,556,0.082,0.695,0.516,0.487,hyper,Block:102
chr1,10880813,10924336,43524,687,-0.076,0.675,0.511,0.504,hypo,Block:103
chr1,10987415,11003559,16145,215,-0.073,0.641,0.505,0.478,hypo,Block:104
chr1,11030999,11063713,32715,237,-0.076,0.71,0.516,0.504,hypo,Block:105
chr1,11092217,11115455,23239,320,-0.136,0.618,0.541,0.517,hypo,Block:106
chr1,11123118,11133154,10037,124,0.065,0.631,0.49,0.504,hyper,Block:107
chr1,11338560,11344346,5787,38,0.056,0.71,0.637,0.645,hyper,Block:108
chr1,11357296,11536354,179059,2083,-0.184,0.673,0.507,0.513,hypo,Block:109
chr1,11544155,11708748,164594,1993,-0.188,0.665,0.493,0.493,hypo,Block:110
chr1,11716797,11724057,7261,90,-0.053,0.489,0.507,0.483,hypo,Block:111
chr1,11755175,11779509,24335,360,-0.136,0.621,0.473,0.468,hypo,Block:112
chr1,11809762,11822116,12355,125,-0.086,0.745,0.522,0.514,hypo,Block:113
chr1,11822490,11847517,25028,341,-0.14,0.669,0.494,0.494,hypo,Block:114
chr1,11908298,11919095,10798,131,-0.072,0.555,0.519,0.507,hypo,Block:115
chr1,11919596,11958813,39218,463,-0.139,0.639,0.498,0.507,hypo,Block:116
chr1,12040877,12051512,10636,123,-0.079,0.601,0.541,0.561,hypo,Block:117
chr1,12094411,12116603,22193,246,-0.128,0.696,0.513,0.516,hypo,Block:118
chr1,12127049,12199836,72788,844,-0.141,0.766,0.498,0.513,hypo,Block:119
chr1,12217291,12222676,5386,61,-0.056,0.569,0.486,0.531,hypo,Block:120
chr1,12267223,12289822,22600,166,-0.115,0.628,0.555,0.54,hypo,Block:121
chr1,12483114,12519066,35953,242,0.065,0.806,0.568,0.573,hyper,Block:122
chr1,12528604,12539485,10882,124,-0.065,0.701,0.484,0.464,hypo,Block:123
chr1,12592927,12617751,24825,369,-0.092,0.727,0.501,0.496,hypo,Block:124
chr1,12647880,12655783,7904,134,0.07,0.653,0.526,0.482,hyper,Block:125
chr1,12683662,12926194,242533,1273,-0.179,0.748,0.511,0.516,hypo,Block:126
chr1,12941165,12970497,29333,17,-0.222,0.737,0.568,0.515,hypo,Block:127
chr1,12981060,12992470,11411,7,-0.173,0.699,0.354,0.4,hypo,Block:128
chr1,13124925,13133017,8093,2,-0.202,0.722,0.75,1,hypo,Block:129
chr1,13156865,13215303,58439,72,-0.211,0.742,0.533,0.514,hypo,Block:130
chr1,13374777,13380782,6006,2,-0.139,0.644,1,1,hypo,Block:131
chr1,13468240,13473699,5460,3,-0.139,0.676,0.159,0.167,hypo,Block:132
chr1,13642128,13648840,6713,4,-0.171,0.731,0.738,0.833,hypo,Block:133
chr1,13686430,13692556,6127,4,-0.139,0.71,0.658,0.917,hypo,Block:134
chr1,13774053,13835010,60958,586,-0.185,0.686,0.489,0.498,hypo,Block:135
chr1,13844945,13909863,64919,583,-0.134,0.721,0.493,0.497,hypo,Block:136
chr1,13913619,14023481,109863,797,-0.168,0.73,0.508,0.511,hypo,Block:137
chr1,14037806,14063726,25921,197,-0.062,0.806,0.576,0.573,hypo,Block:138
chr1,14120405,14134714,14310,212,-0.076,0.844,0.524,0.54,hypo,Block:139
chr1,14264732,14916569,651838,4413,-0.137,0.79,0.507,0.51,hypo,Block:140
chr1,14934040,15249064,315025,3417,-0.167,0.791,0.512,0.523,hypo,Block:141
chr1,15263304,15272465,9162,136,-0.05,0.763,0.546,0.567,hypo,Block:142
chr1,15284779,15372180,87402,1197,-0.08,0.806,0.52,0.534,hypo,Block:143
chr1,15381628,15413357,31730,457,-0.075,0.835,0.478,0.499,hypo,Block:144
chr1,15420679,15441582,20904,294,-0.099,0.68,0.523,0.524,hypo,Block:145
chr1,15536592,15542072,5481,94,0.049,0.767,0.433,0.46,hyper,Block:146
chr1,15553374,15565804,12431,102,-0.07,0.756,0.428,0.408,hypo,Block:147
chr1,15672264,15684491,12228,174,-0.068,0.771,0.498,0.483,hypo,Block:148
chr1,15703598,15717397,13800,212,-0.071,0.826,0.501,0.513,hypo,Block:149
chr1,15761784,15809195,47412,440,-0.103,0.813,0.499,0.497,hypo,Block:150
chr1,15999242,16011253,12012,142,-0.072,0.546,0.467,0.517,hypo,Block:151
chr1,16017384,16035513,18130,181,0.084,0.739,0.507,0.528,hyper,Block:152
chr1,16079510,16084924,5415,83,0.118,0.453,0.505,0.508,hyper,Block:153
chr1,16085888,16097005,11118,145,0.126,0.5,0.529,0.512,hyper,Block:154
chr1,16125536,16137467,11932,88,-0.061,0.603,0.452,0.464,hypo,Block:155
chr1,16236191,16243074,6884,34,-0.048,0.87,0.592,0.562,hypo,Block:156
chr1,16306769,16399617,92849,1087,-0.156,0.649,0.49,0.493,hypo,Block:157
chr1,16400093,16406906,6814,126,-0.075,0.568,0.496,0.495,hypo,Block:158
chr1,16412207,16447099,34893,349,-0.109,0.762,0.485,0.494,hypo,Block:159
chr1,16473621,16481463,7843,147,-0.059,0.521,0.525,0.518,hypo,Block:160
chr1,16482818,16494002,11185,152,-0.082,0.417,0.469,0.473,hypo,Block:161
chr1,16494556,16518790,24235,343,-0.07,0.611,0.517,0.491,hypo,Block:162
chr1,16724301,16766973,42673,361,-0.124,0.768,0.463,0.479,hypo,Block:163
chr1,16816184,16824098,7915,33,0.064,0.538,0.449,0.488,hyper,Block:164
chr1,16998012,17006544,8533,34,-0.106,0.728,0.446,0.473,hypo,Block:165
chr1,17035127,17054246,19120,262,-0.125,0.778,0.508,0.534,hypo,Block:166
chr1,17064040,17081795,17756,23,0.084,0.577,0.555,0.487,hyper,Block:167
chr1,17108378,17123620,15243,28,-0.093,0.806,0.53,0.533,hypo,Block:168
chr1,17365493,17373107,7615,53,0.053,0.725,0.565,0.549,hyper,Block:169
chr1,17382830,17419884,37055,420,-0.065,0.756,0.512,0.536,hypo,Block:170
chr1,17459042,17465128,6087,73,-0.05,0.698,0.413,0.421,hypo,Block:171
chr1,17483724,17528326,44603,375,-0.065,0.726,0.493,0.486,hypo,Block:172
chr1,17551943,17557597,5655,68,-0.047,0.697,0.473,0.506,hypo,Block:173
chr1,17587636,17733741,146106,1512,-0.19,0.722,0.502,0.507,hypo,Block:174
chr1,17765878,17819708,53831,441,-0.121,0.664,0.526,0.51,hypo,Block:175
chr1,17835397,17844562,9166,75,0.053,0.57,0.52,0.485,hyper,Block:176
chr1,17859438,17865788,6351,62,0.061,0.385,0.444,0.431,hyper,Block:177
chr1,17866686,17873179,6494,64,0.059,0.329,0.628,0.602,hyper,Block:178
chr1,17930085,17937578,7494,135,0.05,0.691,0.505,0.527,hyper,Block:179
chr1,17965316,17986881,21566,361,0.054,0.811,0.513,0.526,hyper,Block:180
chr1,17996142,18016574,20433,356,0.056,0.782,0.537,0.525,hyper,Block:181
chr1,18025127,18427260,402134,4165,-0.212,0.704,0.513,0.515,hypo,Block:182
chr1,18438701,18951810,513110,5335,-0.19,0.684,0.492,0.496,hypo,Block:183
chr1,18973349,18987130,13782,185,0.099,0.346,0.518,0.52,hyper,Block:184
chr1,18999587,19043290,43704,549,-0.113,0.583,0.516,0.518,hypo,Block:185
chr1,19043871,19200024,156154,1813,-0.194,0.67,0.498,0.508,hypo,Block:186
chr1,19220360,19227502,7143,90,-0.055,0.639,0.465,0.466,hypo,Block:187
chr1,19290012,19306844,16833,150,-0.06,0.751,0.509,0.485,hypo,Block:188
chr1,19336685,19352306,15622,133,-0.065,0.612,0.468,0.473,hypo,Block:189
chr1,19615702,19626855,11154,53,-0.086,0.665,0.522,0.512,hypo,Block:190
chr1,19821216,19898317,77102,379,-0.063,0.8,0.517,0.498,hypo,Block:191
chr1,19932476,19944246,11771,78,-0.059,0.69,0.521,0.524,hypo,Block:192
chr1,19995146,20007523,12378,158,-0.067,0.62,0.502,0.514,hypo,Block:193
chr1,20113728,20125316,11589,89,0.063,0.615,0.483,0.51,hyper,Block:194
chr1,20133350,20147813,14464,151,-0.068,0.56,0.457,0.502,hypo,Block:195
chr1,20188723,20206231,17509,126,-0.067,0.579,0.518,0.518,hypo,Block:196
chr1,20253966,20297233,43268,296,-0.093,0.73,0.525,0.513,hypo,Block:197
chr1,20319479,20490784,171306,1149,-0.134,0.769,0.523,0.525,hypo,Block:198
chr1,20633043,20646208,13166,214,-0.058,0.834,0.488,0.489,hypo,Block:199
chr1,20693561,20797519,103959,932,-0.13,0.659,0.489,0.486,hypo,Block:200
chr1,20843016,20870667,27652,196,-0.175,0.693,0.507,0.508,hypo,Block:201
chr1,20888587,20912192,23606,168,-0.13,0.645,0.521,0.526,hypo,Block:202
chr1,20940811,20948843,8033,75,-0.065,0.658,0.535,0.556,hypo,Block:203
chr1,20993780,21022882,29103,331,-0.14,0.736,0.48,0.473,hypo,Block:204
chr1,21023221,21043815,20595,368,-0.144,0.728,0.488,0.493,hypo,Block:205
chr1,21044795,21053766,8972,218,-0.108,0.565,0.475,0.504,hypo,Block:206
chr1,21515430,21543650,28221,150,-0.11,0.826,0.495,0.48,hypo,Block:207
chr1,21661999,21670925,8927,131,0.057,0.415,0.495,0.478,hyper,Block:208
chr1,21678438,21749256,70819,370,-0.109,0.755,0.535,0.534,hypo,Block:209
chr1,21788696,21830411,41716,221,-0.108,0.798,0.519,0.496,hypo,Block:210
chr1,21845626,21932151,86526,1279,-0.156,0.718,0.505,0.51,hypo,Block:211
chr1,21955495,21966330,10836,135,-0.053,0.621,0.458,0.432,hypo,Block:212
chr1,21986130,21991396,5267,63,-0.052,0.347,0.486,0.446,hypo,Block:213
chr1,22000130,22006822,6693,70,0.056,0.715,0.44,0.454,hyper,Block:214
chr1,22117934,22134426,16493,85,-0.109,0.761,0.555,0.521,hypo,Block:215
chr1,22141430,22151255,9826,166,0.065,0.7,0.432,0.441,hyper,Block:216
chr1,22221373,22235661,14289,209,0.054,0.653,0.486,0.458,hyper,Block:217
chr1,22273292,22323578,50287,271,-0.07,0.745,0.502,0.509,hypo,Block:218
chr1,22385281,22423270,37990,189,0.063,0.694,0.638,0.646,hyper,Block:219
chr1,22454324,22468902,14579,274,-0.075,0.575,0.505,0.508,hypo,Block:220
chr1,22470290,22578021,107732,1260,-0.139,0.717,0.51,0.512,hypo,Block:221
chr1,22595560,22668594,73035,788,-0.154,0.733,0.503,0.507,hypo,Block:222
chr1,22668873,22777672,108800,1082,-0.183,0.651,0.497,0.498,hypo,Block:223
chr1,22861476,22889548,28073,478,-0.105,0.612,0.504,0.522,hypo,Block:224
chr1,22890160,22991408,101249,1634,-0.176,0.637,0.501,0.502,hypo,Block:225
chr1,23038398,23047561,9164,133,-0.052,0.359,0.5,0.534,hypo,Block:226
chr1,23105547,23127030,21484,279,0.07,0.727,0.523,0.523,hyper,Block:227
chr1,23138538,23153308,14771,177,0.061,0.745,0.51,0.495,hyper,Block:228
chr1,23219371,23237244,17874,185,0.053,0.79,0.494,0.506,hyper,Block:229
chr1,23246411,23279531,33121,205,-0.146,0.671,0.444,0.443,hypo,Block:230
chr1,23280604,23289165,8562,75,-0.066,0.476,0.492,0.512,hypo,Block:231
chr1,23320849,23341713,20865,99,-0.112,0.694,0.53,0.563,hypo,Block:232
chr1,23351359,23359538,8180,38,0.061,0.506,0.594,0.557,hyper,Block:233
chr1,23481369,23494136,12768,71,-0.069,0.587,0.394,0.44,hypo,Block:234
chr1,23552549,23564685,12137,64,-0.061,0.74,0.509,0.51,hypo,Block:235
chr1,23787175,23806389,19215,121,-0.083,0.678,0.429,0.444,hypo,Block:236
chr1,23817087,23825780,8694,45,-0.059,0.611,0.445,0.438,hypo,Block:237
chr1,23845446,23851819,6374,64,-0.051,0.746,0.41,0.438,hypo,Block:238
chr1,23897362,23945881,48520,376,-0.072,0.717,0.51,0.505,hypo,Block:239
chr1,23946374,24018318,71945,469,-0.117,0.616,0.489,0.496,hypo,Block:240
chr1,24073344,24085493,12150,92,0.085,0.595,0.553,0.498,hyper,Block:241
chr1,24146256,24157107,10852,107,-0.063,0.549,0.509,0.506,hypo,Block:242
chr1,24198898,24223843,24946,139,-0.12,0.718,0.509,0.501,hypo,Block:243
chr1,24468727,24479412,10686,145,-0.072,0.611,0.479,0.479,hypo,Block:244
chr1,24536425,24617871,81447,657,-0.076,0.784,0.501,0.519,hypo,Block:245
chr1,24711117,24739818,28702,205,-0.068,0.657,0.479,0.499,hypo,Block:246
chr1,24808854,24823622,14769,131,-0.095,0.763,0.5,0.485,hypo,Block:247
chr1,24860590,24876284,15695,129,-0.083,0.667,0.575,0.55,hypo,Block:248
chr1,24903824,24965280,61457,392,-0.091,0.749,0.526,0.543,hypo,Block:249
chr1,25004380,25064106,59727,444,-0.106,0.716,0.494,0.485,hypo,Block:250
chr1,25078898,25136587,57690,227,-0.07,0.819,0.595,0.607,hypo,Block:251
chr1,25149070,25158544,9475,39,-0.049,0.805,0.602,0.611,hypo,Block:252
chr1,25181751,25197586,15836,227,-0.064,0.684,0.53,0.509,hypo,Block:253
chr1,25225855,25246525,20671,427,-0.055,0.735,0.497,0.497,hypo,Block:254
chr1,25266683,25466324,199642,2430,-0.152,0.734,0.506,0.5,hypo,Block:255
chr1,25574552,25582706,8155,84,-0.112,0.64,0.47,0.477,hypo,Block:256
chr1,25705909,25737952,32044,77,-0.084,0.798,0.499,0.486,hypo,Block:257
chr1,25794018,25815729,21712,92,0.048,0.84,0.532,0.567,hyper,Block:258
chr1,25841422,25865297,23876,303,-0.124,0.761,0.501,0.492,hypo,Block:259
chr1,25893735,25937031,43297,496,-0.08,0.764,0.525,0.513,hypo,Block:260
chr1,25948266,25981430,33165,241,-0.085,0.764,0.56,0.551,hypo,Block:261
chr1,25998533,26092973,94441,1049,-0.093,0.795,0.526,0.523,hypo,Block:262
chr1,26107339,26119412,12074,156,-0.06,0.762,0.523,0.524,hypo,Block:263
chr1,26249638,26274275,24638,173,-0.082,0.618,0.537,0.494,hypo,Block:264
chr1,26328455,26361547,33093,323,-0.104,0.625,0.499,0.504,hypo,Block:265
chr1,26381640,26426962,45323,338,-0.072,0.712,0.478,0.477,hypo,Block:266
chr1,26462827,26485838,23012,173,-0.089,0.575,0.458,0.467,hypo,Block:267
chr1,26527267,26551357,24091,190,-0.132,0.654,0.463,0.487,hypo,Block:268
chr1,26653750,26662199,8450,49,0.058,0.531,0.501,0.507,hyper,Block:269
chr1,26671178,26684125,12948,159,-0.066,0.7,0.481,0.463,hypo,Block:270
chr1,26694542,26730919,36378,209,-0.153,0.635,0.468,0.47,hypo,Block:271
chr1,26751010,26756247,5238,26,-0.055,0.42,0.612,0.696,hypo,Block:272
chr1,26806676,26822599,15924,97,-0.082,0.842,0.554,0.496,hypo,Block:273
chr1,26837429,26856181,18753,139,-0.103,0.635,0.417,0.416,hypo,Block:274
chr1,26900522,26930513,29992,143,-0.083,0.759,0.51,0.518,hypo,Block:275
chr1,26955425,27014649,59225,232,-0.113,0.803,0.548,0.547,hypo,Block:276
chr1,27343013,27420641,77629,612,-0.111,0.676,0.493,0.481,hypo,Block:277
chr1,27485033,27558522,73490,394,-0.097,0.748,0.509,0.499,hypo,Block:278
chr1,27635941,27646253,10313,51,-0.063,0.566,0.492,0.49,hypo,Block:279
chr1,27671261,27690553,19293,557,0.104,0.544,0.504,0.506,hyper,Block:280
chr1,27696406,27709575,13170,142,-0.109,0.574,0.527,0.47,hypo,Block:281
chr1,27709845,27717658,7814,66,-0.1,0.525,0.422,0.419,hypo,Block:282
chr1,27725603,27741686,16084,157,0.067,0.623,0.463,0.462,hyper,Block:283
chr1,27826608,27837287,10680,75,0.052,0.718,0.491,0.493,hyper,Block:284
chr1,27931231,27960393,29163,357,-0.127,0.607,0.504,0.488,hypo,Block:285
chr1,27961046,27982193,21148,201,-0.103,0.642,0.534,0.531,hypo,Block:286
chr1,28019867,28041681,21815,74,-0.101,0.751,0.493,0.51,hypo,Block:287
chr1,28073340,28084209,10870,43,-0.06,0.917,0.541,0.561,hypo,Block:288
chr1,28181656,28199015,17360,170,-0.08,0.613,0.463,0.464,hypo,Block:289
chr1,28415336,28490919,75584,493,-0.114,0.764,0.51,0.511,hypo,Block:290
chr1,28605412,28615251,9840,86,0.062,0.776,0.535,0.503,hyper,Block:291
chr1,29050542,29057030,6489,30,-0.053,0.751,0.484,0.459,hypo,Block:292
chr1,29106460,29133587,27128,191,-0.142,0.7,0.488,0.513,hypo,Block:293
chr1,29142254,29210717,68464,596,-0.141,0.723,0.502,0.499,hypo,Block:294
chr1,29455507,29472752,17246,171,-0.158,0.673,0.478,0.503,hypo,Block:295
chr1,29565769,29585877,20109,203,-0.165,0.46,0.529,0.528,hypo,Block:296
chr1,29586604,29878000,291397,2654,-0.23,0.699,0.515,0.512,hypo,Block:297
chr1,30028252,30486519,458268,3857,-0.208,0.671,0.504,0.507,hypo,Block:298
chr1,30512041,30550810,38770,309,-0.171,0.732,0.496,0.515,hypo,Block:299
chr1,30561130,31157980,596851,4865,-0.207,0.674,0.499,0.501,hypo,Block:300
chr1,31158334,31190953,32620,412,-0.19,0.609,0.487,0.496,hypo,Block:301
chr1,31197218,31219712,22495,307,-0.114,0.72,0.461,0.476,hypo,Block:302
chr1,31232282,31295398,63117,844,-0.112,0.661,0.478,0.481,hypo,Block:303
chr1,31302286,31339197,36912,358,-0.118,0.663,0.492,0.503,hypo,Block:304
chr1,31356258,31365081,8824,102,-0.059,0.732,0.48,0.473,hypo,Block:305
chr1,31383956,31401252,17297,123,-0.108,0.667,0.517,0.517,hypo,Block:306
chr1,31544981,31619506,74526,379,-0.103,0.793,0.499,0.493,hypo,Block:307
chr1,31654928,31710270,55343,452,-0.107,0.642,0.474,0.501,hypo,Block:308
chr1,31714207,31731357,17151,90,-0.063,0.631,0.488,0.531,hypo,Block:309
chr1,31861054,31883551,22498,186,-0.076,0.587,0.508,0.507,hypo,Block:310
chr1,31918696,31933441,14746,91,-0.061,0.73,0.537,0.564,hypo,Block:311
chr1,32061486,32079419,17934,89,-0.08,0.594,0.524,0.524,hypo,Block:312
chr1,32111158,32129589,18432,214,-0.084,0.725,0.481,0.488,hypo,Block:313
chr1,32141364,32169516,28153,441,-0.125,0.723,0.494,0.485,hypo,Block:314
chr1,32169901,32180114,10214,126,-0.082,0.481,0.494,0.499,hypo,Block:315
chr1,32180508,32223855,43348,788,-0.139,0.685,0.512,0.482,hypo,Block:316
chr1,32254376,32360479,106104,888,-0.092,0.735,0.484,0.503,hypo,Block:317
chr1,32421807,32471072,49266,244,-0.132,0.779,0.468,0.465,hypo,Block:318
chr1,32697453,32705504,8052,62,0.068,0.517,0.535,0.52,hyper,Block:319
chr1,32715320,32741633,26314,259,-0.084,0.706,0.507,0.499,hypo,Block:320
chr1,32864238,32892325,28088,154,-0.12,0.635,0.524,0.524,hypo,Block:321
